"gvkey","curcd","fyear","fyr","datadate","at","capx","shareequity","dlc","dltt","dvp","ebit","netprofit","pstk","sale","epsexcon","nicon","conm","fic","conml","ggroup","gind","gsector","gsubind","sector","indgroup","industry","subind","debt","invested_capital"
"211367","AUD","2024",6,"6/30/2024",2129.895,273.824,1355.919,313.289,53.138,NA,-132.958,-186.017,0,1262.814,-0.2463,-186.017,"REGIS RESOURCES LTD","AUS","Regis Resources Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",366.427,1722.346
"232041","AUD","2024",6,"6/30/2024",2093.227,66.42,1004.665,44.831,236.227,NA,-23.195,14.876,0,1468.907,0.041,14.876,"AUSTAL LTD","AUS","Austal Limited",2010,201010,20,20101010,"Industrials","Capital Goods","Aerospace & Defense","Aerospace & Defense",281.058,1285.723
"271326","USD","2024",6,"6/30/2024",1985.786,121.283,1779.976,1.699,1.521,NA,462.231,364.755,0,1025.799,0.2362,324.281,"PERSEUS MINING LTD","AUS","Perseus Mining Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",3.22,1783.196
"316907","AUD","2024",6,"6/30/2024",1952.176,116.263,474.184,81.308,915.122,NA,119.551,3.735,0,1803.687,0.0108,3.735,"PACT GROUP HLDGS LTD","AUS","Pact Group Holdings Ltd",1510,151030,15,15103010,"Materials","Materials","Containers & Packaging","Metal, Glass & Plastic Containers  (New Name)",996.43,1470.614
"317476","AUD","2024",6,"6/30/2024",1904.805,32.354,894.342,65.784,628.378,NA,138.572,-158.625,0,2036.938,-0.4664,-158.309,"BAPCOR LTD","AUS","Bapcor Ltd",2550,255010,25,25501010,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Distributors","Distributors",694.162,1588.504
"297921","AUD","2024",6,"6/30/2024",1897.8,76.3,833.3,6.1,295.7,NA,-584.1,-1684.6,0,1677.8,-0.6675,-1684.6,"THE STAR ENTERTAINMENT GROUP","AUS","The Star Entertainment Group Ltd",2530,253010,25,25301010,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Casinos & Gaming",301.8,1135.1
"318480","AUD","2024",6,"6/30/2024",1812.508,65.725,-22.885,0.919,2.924,NA,-40.887,-21.415,0,1014.051,-0.0711,-21.415,"REGIS HEALTHCARE LTD","AUS","Regis Healthcare Ltd",3510,351020,35,35102020,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care Facilities",3.843,-19.042
"101568","AUD","2024",6,"6/30/2024",1790.923,20.037,933.667,22.679,483.485,NA,172.371,99.812,0,987.174,0.7084,99.812,"AMOTIV LIMITED","AUS","Amotiv Limited",2510,251010,25,25101010,"Consumer Discretionary","Automobiles & Components","Automobile Components (New Name)","Automotive Parts & Equipment (New Name)",506.164,1439.831
"322858","AUD","2024",6,"6/30/2024",1728.385,29.179,493.662,620.436,371.511,NA,145.726,61.48,0,2646.763,0.3028,60.872,"AUTOSPORTS GROUP LTD","AUS","Autosports Group Ltd",2550,255040,25,25504050,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Automotive Retail",991.947,1485.609
"296280","AUD","2024",6,"6/30/2024",1643.103,5.136,1190.692,9.748,29.034,NA,115.356,86.385,0,710.42,0.5787,84.452,"CORPORATE TRAVEL MGMT LTD","AUS","Corporate Travel Management Ltd",2530,253010,25,25301020,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",38.782,1229.474
"286001","AUD","2024",6,"6/30/2024",1612.258,192.846,652.556,93.663,231.796,NA,136.823,105.096,0,2913.007,0.2315,105.096,"NRW HOLDINGS LTD","AUS","NRW Holdings Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",325.459,978.015
"256406","AUD","2024",6,"6/30/2024",1593.948,123.149,1329.128,9.078,1.389,NA,265.971,216.582,0,882.572,0.1953,216.582,"RAMELIUS RESOURCES LTD","AUS","Ramelius Resources Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",10.467,1339.595
"345403","AUD","2024",6,"6/30/2024",1589.415,55.852,683.685,74.945,551.135,NA,113.477,75.602,0,908.522,0.2228,72.958,"MAAS GROUP HOLDINGS LIMITED","AUS","MAAS Group Holdings Limited",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",626.08,1309.765
"325957","AUD","2024",6,"6/30/2024",1483.82,37.143,1113.952,3.846,195.812,NA,92.539,51.223,0,390.911,0.0689,43.44,"DOMAIN HOLDINGS AUSTRALIA LT","AUS","Domain Holdings Australia Ltd",5020,502030,50,50203010,"Communication Services","Media & Entertainment","Interactive Media & Services","Interactive Media & Services",199.658,1313.61
"105117","AUD","2024",6,"6/30/2024",1477.901,15.264,403.487,15.62,500.038,NA,114.875,45.301,0,1413.701,0.0294,45.301,"SEVEN WEST MEDIA LTD","AUS","Seven West Media Ltd",5020,502010,50,50201020,"Communication Services","Media & Entertainment","Media","Broadcasting",515.658,919.145
"347444","AUD","2024",6,"6/30/2024",1452.164,10.682,524.945,478.824,311.791,NA,96.275,37.443,0,2473.542,0.2099,36.085,"PETER WARREN AUTOMOTIVE HOLD","AUS","Peter Warren Automotive Holdings Limited",2550,255040,25,25504050,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Automotive Retail",790.615,1315.56
"101597","AUD","2024",6,"6/30/2024",1451.35,149.985,633.515,104.139,237.026,NA,99.461,53.226,0,2031.261,0.0253,53.226,"MACMAHON HOLDINGS LTD","AUS","Macmahon Holdings Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",341.165,974.68
"282142","AUD","2024",6,"6/30/2024",1384.924,665.729,770.072,6.723,454.191,NA,-60.706,-64.918,0,0,-0.0276,-64.918,"LIONTOWN RESOURCES LTD","AUS","Liontown Resources Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",460.914,1230.986
"242650","AUD","2024",6,"6/30/2024",1341.071,24.925,848.214,24.755,131.228,NA,183.398,118.507,0,1529.993,0.8269,118.507,"BREVILLE GROUP LTD","AUS","Breville Group Ltd",2520,252010,25,25201040,"Consumer Discretionary","Consumer Durables & Apparel","Household Durables","Household Appliances",155.983,1004.197
"253326","AUD","2024",6,"6/30/2024",1314.61,107.926,1275.953,0.747,7.37,NA,-28.312,-17.22,0,0.024,-0.0093,-17.22,"DE GREY MINING LTD","AUS","De Grey Mining Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",8.117,1284.07
"318667","AUD","2024",6,"6/30/2024",1313.4,8.8,634.3,9.9,481.9,NA,127.3,60.8,0,605.6,0.2508,60.8,"IPH LTD","AUS","IPH Ltd",2020,202020,20,20202020,"Industrials","Commercial  & Professional Services","Professional Services","Research & Consulting Services",491.8,1126.1
"271411","AUD","2024",6,"6/30/2024",1303.05,0.88,128.844,7.789,580.34,NA,155.915,90.057,0,521.018,1.2931,90.057,"MCMILLAN SHAKESPEARE LTD","AUS","Mcmillan Shakespeare Ltd",2020,202020,20,20202010,"Industrials","Commercial  & Professional Services","Professional Services","Human Resource & Employment Services (Definition Update)",588.129,716.973
"320762","AUD","2024",6,"6/30/2024",1256.326,14.229,523.373,23.797,371.863,NA,215.894,133.532,0,1037.246,0.4769,132.749,"IDP EDUCATION LTD","AUS","IDP Education Ltd",2530,253020,25,25302010,"Consumer Discretionary","Consumer Services","Diversified Consumer Services","Education Services",395.66,919.033
"340137","AUD","2024",6,"6/30/2024",1237.757,34.674,570.102,13.34,338.208,NA,59.647,26.379,0,999.749,0.0974,26.379,"AUSSIE BROADBAND LTD","AUS","Aussie Broadband Limited",5010,501010,50,50101010,"Communication Services","Telecommunication Services","Diversified Telecommunication Services","Alternative Carriers",351.548,921.65
"253322","AUD","2024",6,"6/30/2024",1223.186,66.446,417.646,0.847,254.074,NA,-111.761,-114.109,0,219.047,-0.0433,-114.109,"AMPLITUDE ENERGY LIMITED","AUS","Amplitude Energy Limited",1010,101020,10,10102020,"Energy","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production",254.921,672.567
"290328","AUD","2024",6,"6/30/2024",1209.028,164.555,991.381,12.928,32.275,NA,36.91,82.829,0,438.593,0.0774,83.996,"GENESIS MINERALS LTD","AUS","Genesis Minerals Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",45.203,1036.584
"320982","AUD","2024",6,"6/30/2024",1187.66,3.611,495.669,6.51,230.53,NA,80.944,57.773,0,329.004,0.158,57.161,"PSC INSURANCE GROUP LTD","AUS","PSC Insurance Group Ltd",4030,403010,40,40301010,"Financials","Insurance","Insurance","Insurance Brokers",237.04,732.709
"278546","AUD","2024",6,"6/30/2024",1174.758,214.947,637.241,53.551,305.185,NA,115.678,52.66,0,822.728,0.102,52.66,"EMECO HOLDINGS LTD","AUS","Emeco Holdings Ltd",2010,201070,20,20107010,"Industrials","Capital Goods","Trading Companies & Distributors","Trading Companies & Distributors",358.736,995.977
"271338","AUD","2024",6,"6/30/2024",1147.947,24.84,418.805,148.698,393.505,NA,124.528,59.53,0,1454.352,0.1061,59.53,"ACCENT GROUP LTD","AUS","Accent Group Ltd",2550,255040,25,25504010,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Apparel Retail",542.203,961.008
"285235","AUD","2024",6,"6/30/2024",1143.177,7.95,454.188,3.82,35,NA,-44.537,-168.619,0,388.399,-2.1178,-168.619,"MAYNE PHARMA GROUP LTD","AUS","Mayne Pharma Group Ltd",3520,352020,35,35202010,"Health Care","Pharmaceuticals, Biotechnology & Life Sciences","Pharmaceuticals","Pharmaceuticals",38.82,493.008
"212653","AUD","2024",6,"6/30/2024",1052.5,273.083,691.802,23.377,31.233,NA,126.956,95.232,0,716.473,0.2011,95.232,"WESTGOLD RESOURCES LTD","AUS","Westgold Resources Limited",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",54.61,746.412
"271534","AUD","2024",6,"6/30/2024",1048.559,8.557,480.288,21.341,95.678,NA,52.16,32.298,0,2288.793,0.0525,32.298,"SERVICE STREAM LTD","AUS","Service Stream Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",117.019,597.307
"282001","AUD","2024",6,"6/30/2024",1021.439,216.025,805.221,0.584,113.26,NA,-57.814,-49.186,0,0,-0.0269,-49.186,"BCI MINERALS LTD","AUS","BCI Minerals Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",113.844,919.065
"211572","AUD","2024",9,"9/30/2024",1010.068,22.039,480.759,52.415,348.104,NA,15.172,1.5,0,337.285,0.0124,1.5,"SELECT HARVESTS LTD","AUS","Select Harvests Ltd",3020,302020,30,30202010,"Consumer Staples","Food, Beverage & Tobacco","Food Products","Agricultural Products & Services (New Name)",400.519,881.278
"311355","AUD","2024",6,"6/30/2024",998.795,115.146,410.74,10.059,356.782,NA,104.524,60.452,0,637.19,0.3761,60.452,"ALLIANCE AVIATION SERVICES","AUS","Alliance Aviation Services Ltd",2030,203020,20,20302010,"Industrials","Transportation","Passenger Airlines (New name)","Passenger Airlines (New name)",366.841,777.581
"270457","AUD","2024",6,"6/30/2024",952.513,128.729,795.633,15.47,15.15,NA,-114.642,-119.022,0,200.873,-0.0099,-101.398,"SAYONA MINING LTD","AUS","Sayona Mining Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",30.62,826.253
"274905","AUD","2024",6,"6/30/2024",934.747,210.585,559.64,58.098,249.658,NA,79.351,75.416,0,298.406,0.0652,75.416,"BELLEVUE GOLD LTD","AUS","Bellevue Gold Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",307.756,867.396
"312231","AUD","2024",6,"6/30/2024",910.317,25.21,488.218,13.944,107.353,NA,91.678,64.409,0,1033.473,NA,NA,"CIVMEC LIMITED","AUS","Civmec Limited",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",121.297,609.515
"242795","AUD","2024",6,"6/30/2024",887.363,88.882,465.594,27.547,66.693,NA,83.687,62.225,0,2015.915,0.6408,62.203,"MONADELPHOUS GROUP LTD","AUS","Monadelphous Group Ltd Mndda",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",94.24,559.834
"242679","AUD","2024",6,"6/30/2024",866.147,0.607,74.916,3.99,16.605,NA,53.25,43.311,0,805.746,0.28,43.311,"DATA3 LTD","AUS","Data3 Ltd",4510,451020,45,45102010,"Information Technology","Software & Services","IT Services","IT Consulting & Other Services",20.595,95.511
"212381","AUD","2024",6,"6/30/2024",863.194,0.012,456.618,1.39,226.057,NA,12.667,1.022,0,319.746,0.002,1.022,"AV JENNINGS LTD","AUS","AV Jennings Ltd",2520,252010,25,25201030,"Consumer Discretionary","Consumer Durables & Apparel","Household Durables","Homebuilding",227.447,684.065
"278786","AUD","2024",6,"6/30/2024",844.38,16.416,118.178,160.181,277.131,NA,30.15,-2.354,0,894.761,-0.0019,-3.163,"AMA GROUP LTD","AUS","AMA Group Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",437.312,555.49
"248144","AUD","2024",6,"6/30/2024",838.472,0.033,47.988,2.42,785.405,NA,-8.192,-8.191,0,39.933,-0.006,-8.191,"WISR LTD","AUS","Wisr Ltd",4020,402020,40,40202010,"Financials","Financial Services (New Name)","Consumer Finance","Consumer Finance",787.825,835.813
"202023","USD","2024",6,"6/30/2024",838.26,0.212,-48.084,695.363,93.145,NA,1.396,-801.984,0,24.771,-0.2603,-801.521,"ENERGY WORLD CORP LTD","AUS","Energy World Corporation Ltd",5510,551050,55,55105010,"Utilities","Utilities","Independent Power and Renewable Electricity Producers","Independent Power Producers & Energy Traders",788.508,740.424
"315120","AUD","2024",6,"6/30/2024",792.507,220.532,534.984,1.414,76.158,NA,-2.971,1.318,0,17.051,0.0025,1.318,"MALABAR COAL LTD","AUS","Malabar Coal Ltd",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",77.572,612.556
"211528","AUD","2024",6,"6/30/2024",792.269,48.05,659.416,5.945,34.306,NA,144.485,102.683,0,693.154,1.2491,102.683,"ARB CORP","AUS","Arb Corporation Ltd",2510,251010,25,25101010,"Consumer Discretionary","Automobiles & Components","Automobile Components (New Name)","Automotive Parts & Equipment (New Name)",40.251,699.667
"253587","AUD","2024",6,"6/30/2024",786.144,29.323,571.277,33.795,93.858,NA,70.422,32.399,0,445.284,0.0636,32.399,"IMDEX LTD","AUS","Imdex Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",127.653,698.93
"325598","AUD","2024",6,"6/30/2024",786.071,7.755,460.276,23.418,52.528,NA,98.815,63.283,0,1158.876,0.1734,48.012,"JOHNS LYNG GROUP","AUS","Johns Lyng Group Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",75.946,536.222
"259267","AUD","2024",6,"6/30/2024",768.711,10.122,446.932,6.689,134.357,NA,114.441,81.298,0,550.459,0.4495,81.387,"CODAN LTD","AUS","Codan Limited",4520,452030,45,45203010,"Information Technology","Technology Hardware & Equipment","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments",141.046,587.978
"241419","AUD","2024",9,"9/30/2024",757.44,6.322,379.262,7.096,52.571,NA,146.628,118.014,0,506.536,0.3624,118.014,"TECHNOLOGY ONE LTD","AUS","Technology One Ltd",4510,451030,45,45103010,"Information Technology","Software & Services","Software","Application Software",59.667,438.929
"320604","AUD","2024",6,"6/30/2024",744.276,23.878,301.707,16.17,341.627,NA,42.168,-60.699,0,469.697,-0.26,-60.699,"INTEGRAL DIAGNOSTICS LTD","AUS","Integral Diagnostics Ltd",3510,351020,35,35102015,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care  Services",357.797,659.504
"246015","AUD","2024",6,"6/30/2024",712.422,5.885,557.968,31.52,17.248,NA,158.85,80.697,0,371.073,0.1357,84.266,"EMERALD RESOURCES NL","AUS","Emerald Resources NL",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",48.768,606.736
"270845","AUD","2024",6,"6/30/2024",704.882,27.898,257.779,39.987,280.385,NA,127.562,80.612,0,468.189,0.9873,80.612,"NICK SCALI LTD","AUS","Nick Scali Ltd",2550,255040,25,25504060,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Homefurnishing Retail",320.372,578.151
"357325","AUD","2024",6,"6/30/2024",702.382,3.825,531.27,19.926,27.116,NA,126.003,90.236,0,1137.328,NA,NA,"REDOX LIMITED","AUS","Redox Limited",2010,201070,20,20107010,"Industrials","Capital Goods","Trading Companies & Distributors","Trading Companies & Distributors",47.042,578.312
"274512","AUD","2024",6,"6/30/2024",692.317,2.783,202.837,7.752,238.066,NA,21.542,-224.604,0,499.405,-0.9362,-224.604,"SOUTHERN CROSS MEDIA GROUP","AUS","Southern Cross Media Group",5020,502010,50,50201020,"Communication Services","Media & Entertainment","Media","Broadcasting",245.818,448.655
"349886","AUD","2024",6,"6/30/2024",690.072,66.185,321.745,11.278,219.735,NA,42.57,18.532,0,227.777,0.0445,18.532,"COBRAM ESTATE OLIVES LTD","AUS","Cobram Estate Olives Ltd",3020,302020,30,30202030,"Consumer Staples","Food, Beverage & Tobacco","Food Products","Packaged Foods & Meats",231.013,552.758
"232122","AUD","2024",6,"6/30/2024",689.886,136.738,455.252,3.88,126.905,NA,51.054,33.001,0,363.294,1.3467,33.001,"MACQUARIE TECHNOLOGY GROUP","AUS","Macquarie Technology Group Limited",4510,451020,45,45102030,"Information Technology","Software & Services","IT Services","Internet Services & Infrastructure",130.785,586.037
"241412","AUD","2024",6,"6/30/2024",674.353,NA,194.617,94.364,276.834,NA,56.291,39.038,0,314.106,0.399,39.038,"SERVCORP LTD","AUS","Servcorp Ltd",6020,602010,60,60201020,"Real Estate","Real Estate Management & Development (New)","Real Estate Management & Development (New Code)","Real Estate Operating Companies (New Code)",371.198,565.815
"271607","USD","2024",6,"6/30/2024",669.153,0.271,480.355,16.488,102.435,NA,-57.972,-87.956,0,5.902,-0.0891,-87.956,"MESOBLAST LTD","AUS","Mesoblast Ltd",3520,352010,35,35201010,"Health Care","Pharmaceuticals, Biotechnology & Life Sciences","Biotechnology","Biotechnology",118.923,599.278
"321002","AUD","2024",6,"6/30/2024",664.829,14.743,194.579,35.273,255.658,NA,59.051,27.605,0,972.821,0.1796,27.605,"IVE GROUP LTD","AUS","IVE Group Ltd",5020,502010,50,50201010,"Communication Services","Media & Entertainment","Media","Advertising",290.931,485.51
"207103","AUD","2024",6,"6/30/2024",664.381,30.867,323.119,70.09,93.202,NA,63.884,39.853,0,1262.897,0.1262,39.853,"RIDLEY CORP LTD","AUS","Ridley Corporation Ltd",3020,302020,30,30202010,"Consumer Staples","Food, Beverage & Tobacco","Food Products","Agricultural Products & Services (New Name)",163.292,486.411
"247496","AUD","2024",6,"6/30/2024",664.298,60.343,546.173,9.144,2.707,NA,33.812,6.43,0,667.678,0.0053,6.43,"MOUNT GIBSON IRON LTD","AUS","Mount Gibson Iron Ltd",1510,151040,15,15104050,"Materials","Materials","Metals & Mining","Steel",11.851,558.024
"362021","AUD","2024",6,"6/30/2024",661.797,33.496,353.979,22.201,217.297,NA,-3.849,-13.748,0,342.214,-0.1607,-13.748,"GUZMAN Y GOMEZ LTD","AUS","Guzman y Gomez Ltd",2530,253010,25,25301040,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Restaurants",239.498,593.477
"101742","AUD","2024",6,"6/30/2024",659.885,1.022,304.591,46.932,135.881,NA,66.027,38.631,NA,413.492,0.1457,38.631,"GWA GROUP LTD","AUS","GWA Group Ltd",2010,201020,20,20102010,"Industrials","Capital Goods","Building Products","Building Products",182.813,487.404
"208239","AUD","2024",6,"6/30/2024",652.375,68.542,355.946,3.285,62.944,NA,36.201,31.225,0,824.577,0.2282,31.225,"K&S CORP LTD","AUS","K & S Corp Ltd",2030,203010,20,20301010,"Industrials","Transportation","Air Freight & Logistics","Air Freight & Logistics",66.229,422.175
"247872","AUD","2024",6,"6/30/2024",640.484,25.512,305.054,27.766,59.929,NA,57.262,34.436,0,1069.259,0.0661,34.436,"SRG GLOBAL LTD","AUS","SRG Global Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",87.695,392.749
"102202","AUD","2024",6,"6/30/2024",625.079,17.12,614.636,0.231,3.336,NA,-14.363,-10.636,0,0.016,-0.0131,-10.636,"DEEP YELLOW LTD","AUS","Deep Yellow Ltd",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",3.567,618.203
"326013","AUD","2024",6,"6/30/2024",624.58,26.429,351.734,28.982,115.803,NA,40.562,17.812,0,209.238,0.1417,17.812,"PROPEL FUNERAL PAR","AUS","Propel Funeral Partners Limited",2530,253020,25,25302020,"Consumer Discretionary","Consumer Services","Diversified Consumer Services","Specialized Consumer Services",144.785,496.519
"289353","AUD","2024",6,"6/30/2024",623.559,65.64,309.265,60.291,23.819,NA,126.671,87.138,0,359.834,0.2313,87.138,"CAPRICORN METALS LTD","AUS","Capricorn Metals Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",84.11,393.375
"247885","USD","2024",6,"6/30/2024",621.782,96.598,397.815,33.664,133.686,NA,-23.782,59.998,0,0,0.1792,53.628,"PALADIN ENERGY LTD","AUS","Paladin Energy Ltd",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",167.35,565.165
"249497","AUD","2024",6,"6/30/2024",614.048,1.881,328.346,6.57,15.627,NA,25.804,30.729,0,216.86,0.1918,30.604,"HELLOWORLD TRAVEL LTD","AUS","Helloworld Travel Ltd",2530,253010,25,25301020,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",22.197,350.543
"319886","AUD","2024",6,"6/30/2024",610.496,27.409,223.164,52.523,223.374,NA,59.907,31.09,0,594.356,0.1793,31.09,"ADAIRS LTD","AUS","Adairs Ltd",2550,255040,25,25504060,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Homefurnishing Retail",275.897,499.061
"203209","AUD","2024",6,"6/30/2024",605.889,25.994,342.209,18.114,162.784,NA,31.426,14.328,0,466.135,0.0503,14.328,"DGL GROUP LIMITED","AUS","DGL Group Limited",1510,151010,15,15101050,"Materials","Materials","Chemicals","Specialty Chemicals",180.898,523.107
"272236","AUD","2024",6,"6/30/2024",593.379,0.009,543.347,0.099,0.299,NA,1.181,38.874,0,8.07,NA,NA,"JUPITER MINES LTD","AUS","Jupiter Mines Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",0.398,543.745
"347733","AUD","2024",6,"6/30/2024",593.06,6.505,177.765,104.709,204.19,NA,62.552,24.244,0,696.368,0.1203,23.934,"AUSTRALIAN CLINICAL LABS LTD","AUS","Australian Clinical Labs Ltd",3510,351020,35,35102015,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care  Services",308.899,486.664
"315360","AUD","2024",6,"6/30/2024",592.576,0.991,272.628,18.926,67.063,NA,18.467,6.206,0,195.734,0.036,6.199,"SHINE JUSTICE LTD","AUS","Shine Justice Ltd",2530,253020,25,25302020,"Consumer Discretionary","Consumer Services","Diversified Consumer Services","Specialized Consumer Services",85.989,358.617
"237812","AUD","2024",6,"6/30/2024",584.601,NA,0,227.835,354.509,NA,28.757,0,0,30.421,NA,0,"AFT CORP LTD","AUS","Aft Corporation Ltd",2010,201020,20,20102010,"Industrials","Capital Goods","Building Products","Building Products",582.344,582.344
"101513","AUD","2024",6,"6/30/2024",568.633,32.834,349.293,4.208,3.324,NA,-79.957,-53.915,0,223.603,-0.0659,-53.915,"ST BARBARA LTD","AUS","St Barbara Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",7.532,356.825
"242369","AUD","2024",6,"6/30/2024",566.832,5.06,337.145,4.889,84.461,NA,42.386,21.064,0,353.106,0.1037,21.064,"HANSEN TECHNOLOGIES LTD","AUS","Hansen Technologies Ltd",4510,451030,45,45103010,"Information Technology","Software & Services","Software","Application Software",89.35,426.495
"296578","AUD","2024",6,"6/30/2024",562.744,93.482,271.788,11.735,49.935,NA,-1.126,-24.258,0,540.02,-0.0286,-24.258,"AERIS RESOURCES LTD","AUS","Aeris Resources Ltd",1510,151040,15,15104025,"Materials","Materials","Metals & Mining","Copper",61.67,333.458
"260563","AUD","2024",6,"6/30/2024",560.882,40.727,413.3,27.375,28.742,NA,-60.943,-49.31,0,229.432,-0.0094,-49.31,"PANTORO LTD","AUS","Pantoro Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",56.117,469.417
"349397","AUD","2024",6,"6/30/2024",553.87,13.442,82.391,61.621,320.537,NA,29.309,7.415,0,556.4,0.0915,7.415,"SILK LOGISTICS HOLDINGS LTD","AUS","Silk Logistics Holdings Limited",2030,203010,20,20301010,"Industrials","Transportation","Air Freight & Logistics","Air Freight & Logistics",382.158,464.549
"319821","AUD","2024",6,"6/30/2024",552.275,17.518,367.722,4.034,56.201,NA,-25.598,-14.742,0,416.625,-0.0308,-14.742,"SUPERLOOP LTD","AUS","Superloop Ltd",5010,501010,50,50101010,"Communication Services","Telecommunication Services","Diversified Telecommunication Services","Alternative Carriers",60.235,427.957
"249501","AUD","2024",6,"6/30/2024",550.051,20.571,149.366,85.27,161.779,NA,48.293,27.269,0,804.367,0.0875,27.269,"LINDSAY AUSTRALIA LTD","AUS","Lindsay Australia Ltd",2030,203040,20,20304030,"Industrials","Transportation","Ground Transportation (New Name)","Cargo Ground Transportation (New)",247.049,396.415
"205148","AUD","2024",6,"6/30/2024",545.244,21.099,166.881,40.278,173.203,NA,13.513,-0.479,0,644.929,NA,NA,"MICHAEL HILL INTL LTD","AUS","Michael Hill International Ltd",2550,255040,25,25504040,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Other Specialty Retail (New Name)",213.481,380.362
"332470","AUD","2024",6,"6/30/2024",542.485,13.754,109.084,51.366,267.975,NA,25.227,3.248,0,162.627,0.0355,3.248,"VIVA LEISURE LTD","AUS","Viva Leisure Limited",2530,253010,25,25301030,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Leisure Facilities",319.341,428.425
"285491","AUD","2024",6,"6/30/2024",539.015,90.411,510.304,0.158,0.49,NA,-14.37,44.592,0,0,0.1163,44.592,"BOSS ENERGY LIMITED","AUS","Boss Energy Limited",1010,101020,10,10102050,"Energy","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels",0.648,510.952
"318878","AUD","2024",6,"6/30/2024",532.799,38.459,80.286,58.406,300.661,NA,130.62,82.411,0,698.664,0.7538,82.411,"LOVISA HOLDINGS LTD","AUS","Lovisa Holdings Ltd",2550,255040,25,25504040,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Other Specialty Retail (New Name)",359.067,439.353
"271330","AUD","2024",6,"6/30/2024",527.188,98.71,452.44,16.07,7.832,NA,2.633,8.584,0,45.596,0.0032,8.584,"STRIKE ENERGY LTD","AUS","Strike Energy Ltd",1010,101020,10,10102020,"Energy","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production",23.902,476.342
